timestamp,run_id,kind,scenario,phase,duration_nanos,duration_millis,preview_type,tree_preview_type,has_path,solved,ticks,task_state
"2026-05-31T03:11:04.434750600Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-cyclic-ring","solve","782574300","782","","","","","37","COMPLETED"
"2026-05-31T03:11:04.438406500Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-cyclic-ring","dispatch","80371700","80","","","","","37","COMPLETED"
"2026-05-31T03:11:04.438406500Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-cyclic-ring","execute","856574300","856","","","","","37","COMPLETED"
"2026-05-31T03:11:04.441885Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-cyclic-ring","total","1719520300","1719","","","","","37","COMPLETED"
"2026-05-31T03:11:04.856379400Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-many-small-cycles","solve","274210900","274","","","","","9","COMPLETED"
"2026-05-31T03:11:04.856379400Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-many-small-cycles","dispatch","4999000","4","","","","","9","COMPLETED"
"2026-05-31T03:11:04.856379400Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-many-small-cycles","execute","128768300","128","","","","","9","COMPLETED"
"2026-05-31T03:11:04.864757100Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-many-small-cycles","total","407978200","407","","","","","9","COMPLETED"
"2026-05-31T03:11:05.455377Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-overlapping-cycles","solve","506180500","506","","","","","10","COMPLETED"
"2026-05-31T03:11:05.455377Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-overlapping-cycles","dispatch","2159000","2","","","","","10","COMPLETED"
"2026-05-31T03:11:05.457155500Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-overlapping-cycles","execute","72648600","72","","","","","10","COMPLETED"
"2026-05-31T03:11:05.459172300Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","execution","exec-overlapping-cycles","total","580988100","580","","","","","10","COMPLETED"
"2026-05-31T03:11:06.157334200Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","cyclic-ring-large","solveAndCalculatePreview","321261600","321","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:06.159503900Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","cyclic-ring-large","solveAndCalculateTreePreview","362290400","362","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:06.159503900Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","cyclic-ring-large","total","683552000","683","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:06.443694100Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","cyclic-many-small","solveAndCalculatePreview","126947500","126","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:06.445705800Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","cyclic-many-small","solveAndCalculateTreePreview","151461900","151","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:06.447716900Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","cyclic-many-small","total","278409400","278","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:07.450559Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","cyclic-overlapping","solveAndCalculatePreview","521420400","521","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:07.453304400Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","cyclic-overlapping","solveAndCalculateTreePreview","476355400","476","SUCCESS","SUCCESS","true","","",""
